[watch-slurm] host=a2n17c3 job=3610942
[watch-slurm] manifest=/gpfs/share/home/2501210611/opsd_analysis/OPSD_Analysis/log/train/qwen3_1p7b_jsd_clip/submit_latest.tsv
[watch-slurm] interval=120s post_done_wait=90s
[2026-09-11T05:36:57+08:00] host=a2n17c3 job=3610942 interval=120s post_wait=90s
[2026-09-11T06:02:57+08:00] WAIT st_tt_clip01_1e6_1p7b_ckpt100 jid=3610940 state=RUNNING
[2026-09-11T06:02:57+08:00] WAIT st_tt_clip02_1e6_1p7b_ckpt100 jid=3610941 state=PENDING
[2026-09-11T06:02:57+08:00] progress done=0/3 pending=3 failed=0
[2026-09-11T06:04:57+08:00] WAIT st_tt_clip001_1e6_1p7b_ckpt100 jid=3610939 state=RUNNING
[2026-09-11T06:04:57+08:00] WAIT st_tt_clip01_1e6_1p7b_ckpt100 jid=3610940 state=RUNNING
[2026-09-11T06:04:57+08:00] WAIT st_tt_clip02_1e6_1p7b_ckpt100 jid=3610941 state=PENDING
[2026-09-11T06:04:57+08:00] progress done=0/3 pending=3 failed=0
[2026-09-11T06:06:57+08:00] WAIT st_tt_clip001_1e6_1p7b_ckpt100 jid=3610939 state=RUNNING
[2026-09-11T06:06:57+08:00] WAIT st_tt_clip01_1e6_1p7b_ckpt100 jid=3610940 state=RUNNING
[2026-09-11T06:06:57+08:00] WAIT st_tt_clip02_1e6_1p7b_ckpt100 jid=3610941 state=PENDING
[2026-09-11T06:06:57+08:00] progress done=0/3 pending=3 failed=0
[2026-09-11T06:08:57+08:00] WAIT st_tt_clip001_1e6_1p7b_ckpt100 jid=3610939 state=RUNNING
[2026-09-11T06:08:57+08:00] WAIT st_tt_clip01_1e6_1p7b_ckpt100 jid=3610940 state=RUNNING
[2026-09-11T06:08:57+08:00] WAIT st_tt_clip02_1e6_1p7b_ckpt100 jid=3610941 state=PENDING
[2026-09-11T06:08:57+08:00] progress done=0/3 pending=3 failed=0
[2026-09-11T06:10:57+08:00] WAIT st_tt_clip001_1e6_1p7b_ckpt100 jid=3610939 state=RUNNING
[2026-09-11T06:10:57+08:00] WAIT st_tt_clip01_1e6_1p7b_ckpt100 jid=3610940 state=RUNNING
[2026-09-11T06:10:57+08:00] WAIT st_tt_clip02_1e6_1p7b_ckpt100 jid=3610941 state=PENDING
[2026-09-11T06:10:57+08:00] progress done=0/3 pending=3 failed=0
[2026-09-11T06:12:57+08:00] WAIT st_tt_clip001_1e6_1p7b_ckpt100 jid=3610939 state=RUNNING
